,fc
AC012508.1,0.949583488790415
AC012510.1,-0.116886864653028
AC012513.3,0.921289914464881
AC012531.1,0.0786075799698503
AC012531.7,-0.707749467204135
AC012555.1,2.68516606687553
AC012574.2,2.04556121730914
AC012603.1,0.213681837043272
AC012615.1,0.23377413008368
AC012618.2,0.425313504216544
AC012629.4,-3.12131335134269
AC012640.4,0.416632578419214
AC012640.7,-2.04087264718681
AC012645.1,1.17223683086579
AC012645.4,-3.35823394498953
AC012676.1,-1.13352878008437
AC012676.3,0.0138265402242677
AC012676.5,0.102309998717171
AC013287.1,-5.38104148771607
AC013355.1,0.98444559242408
AC013356.1,-1.29294561477515
AC013470.2,-0.219504682904821
AC013470.3,-1.9589539365188
AC013472.1,1.30491010736882
AC013489.1,3.5545275388745
AC013565.3,-5.17904993997879
AC013731.1,0.565548603633392
AC015660.3,-1.90091175797762
AC015712.1,-0.00645515268968415
AC015712.2,-2.79271018221913
AC015712.6,-0.304540897554868
AC015726.1,-0.707340313269233
AC015802.4,0.139138221525055
AC015802.6,-0.460602233480213
AC015813.1,0.387837817027069
AC015813.2,2.49220492947794
AC015813.5,4.97713012284646
AC015813.6,-2.71444238056358
AC015818.10,1.91704808254345
AC015818.2,0.895023541981784
AC015818.5,-0.575216416204847
AC015845.2,-5.05879106139561
AC015849.5,-0.199051113093421
AC015849.6,-0.436306834748029
AC015871.3,0.839692198638647
AC015871.6,1.42905267906439
AC015871.7,-0.110662553784797
AC015871.8,0.210315624835772
AC015909.5,0.103251868499395
AC015911.8,-5.03510199631856
AC015912.3,0.373128611224306
AC015917.2,0.918534389233605
AC015922.1,-2.71924249050511
AC015922.3,1.32577145042684
AC015961.1,-3.48671404620231
AC015961.2,-0.147848567552274
AC015977.1,-5.0995862087896
AC015982.2,0.144078989573983
AC016026.1,0.29927719471203
AC016027.1,-1.06171417620442
AC016027.4,-5.22855848638506
AC016042.1,-1.64008117243795
AC016065.1,0.554140746198655
AC016168.2,0.399542536392576
AC016168.4,0.307038078424991
AC016251.1,-2.53700709868677
AC016355.1,-0.538199367501392
AC016394.2,0.398033001223387
AC016394.3,2.24018673900081
AC016397.2,1.20707602543121
AC016405.2,-1.78933741221844
AC016405.3,1.42446914788751
AC016526.2,-4.44234837272168
AC016526.3,1.28077443734969
AC016575.1,-3.98413365327387
AC016582.2,0.29256598540779
AC016582.3,1.22735517138964
AC016583.1,-1.05386876168366
AC016588.2,0.33440426996357
AC016590.1,-1.09770464061845
AC016590.4,0.481633737635097
AC016596.3,-0.284558486001274
AC016629.1,2.98925939164562
AC016629.3,0.410641578797552
AC016700.1,0.0138221738488925
AC016717.2,0.624387534971848
AC016727.1,0.405784687374622
AC016734.1,0.504976919093995
AC016737.1,-0.255592428524599
AC016739.1,-0.0908016740208404
AC016745.1,2.91605560364012
AC016745.2,-1.68878554952733
AC016747.1,0.431878933294201
AC016747.3,0.194658292846526
AC016766.1,-5.39311795790147
AC016769.1,1.27646824968045
AC016769.5,-5.09699272106595
AC016773.1,-0.579174752950435
